reading test data from : breast_cancer_test_id_removed.txt
handling NNC with K:3
test_object =     0, predicted_class =   0, true_class =   0, nn =     1, distance =    0.31, accuracy = 1.00
test_object =     1, predicted_class =   0, true_class =   0, nn =    84, distance =    0.32, accuracy = 1.00
test_object =     2, predicted_class =   0, true_class =   0, nn =   487, distance =    0.31, accuracy = 1.00
test_object =     3, predicted_class =   0, true_class =   0, nn =   307, distance =    0.36, accuracy = 1.00
test_object =     4, predicted_class =   0, true_class =   0, nn =     9, distance =    0.31, accuracy = 1.00
test_object =     5, predicted_class =   0, true_class =   0, nn =   158, distance =    1.47, accuracy = 1.00
test_object =     6, predicted_class =   0, true_class =   0, nn =   126, distance =    0.32, accuracy = 1.00
test_object =     7, predicted_class =   0, true_class =   0, nn =   111, distance =    0.52, accuracy = 1.00
test_object =     8, predicted_class =   0, true_class =   0, nn =    11, distance =    0.35, accuracy = 1.00
test_object =     9, predicted_class =   0, true_class =   0, nn =   422, distance =    1.66, accuracy = 1.00
test_object =    10, predicted_class =   0, true_class =   0, nn =   302, distance =    0.30, accuracy = 1.00
test_object =    11, predicted_class =   0, true_class =   0, nn =   286, distance =    0.31, accuracy = 1.00
test_object =    12, predicted_class =   0, true_class =   0, nn =   220, distance =    0.30, accuracy = 1.00
test_object =    13, predicted_class =   0, true_class =   0, nn =   470, distance =    0.63, accuracy = 1.00
test_object =    14, predicted_class =   0, true_class =   0, nn =   141, distance =    0.28, accuracy = 1.00
test_object =    15, predicted_class =   0, true_class =   0, nn =     9, distance =    0.31, accuracy = 1.00
test_object =    16, predicted_class =   0, true_class =   0, nn =    60, distance =    1.67, accuracy = 1.00
test_object =    17, predicted_class =   0, true_class =   0, nn =   260, distance =    1.79, accuracy = 1.00
test_object =    18, predicted_class =   0, true_class =   0, nn =    50, distance =    1.55, accuracy = 1.00
test_object =    19, predicted_class =   0, true_class =   0, nn =   189, distance =    1.30, accuracy = 1.00
test_object =    20, predicted_class =   0, true_class =   0, nn =    84, distance =    0.32, accuracy = 1.00
test_object =    21, predicted_class =   0, true_class =   0, nn =   316, distance =    0.80, accuracy = 1.00
test_object =    22, predicted_class =   0, true_class =   0, nn =    52, distance =    0.37, accuracy = 1.00
test_object =    23, predicted_class =   0, true_class =   0, nn =   427, distance =    0.42, accuracy = 1.00
test_object =    24, predicted_class =   0, true_class =   0, nn =   189, distance =    1.82, accuracy = 1.00
test_object =    25, predicted_class =   0, true_class =   0, nn =    50, distance =    1.61, accuracy = 1.00
test_object =    26, predicted_class =   0, true_class =   0, nn =   448, distance =    0.44, accuracy = 1.00
