reading test data from : iris_test_modified.txt
handling NNC with K:3
test_object =     0, predicted_class =   1, true_class =   1, nn =    57, distance =    0.24, accuracy = 1.00
test_object =     1, predicted_class =   3, true_class =   3, nn =    37, distance =    0.23, accuracy = 1.00
test_object =     2, predicted_class =   2, true_class =   3, nn =    10, distance =    0.39, accuracy = 0.00
test_object =     3, predicted_class =   2, true_class =   2, nn =    16, distance =    0.25, accuracy = 1.00
test_object =     4, predicted_class =   2, true_class =   2, nn =    41, distance =    0.32, accuracy = 1.00
test_object =     5, predicted_class =   2, true_class =   3, nn =    89, distance =    0.41, accuracy = 0.00
test_object =     6, predicted_class =   1, true_class =   1, nn =    54, distance =    0.47, accuracy = 1.00
test_object =     7, predicted_class =   3, true_class =   3, nn =    68, distance =    0.37, accuracy = 1.00
test_object =     8, predicted_class =   1, true_class =   1, nn =    45, distance =    0.09, accuracy = 1.00
test_object =     9, predicted_class =   3, true_class =   3, nn =    12, distance =    0.34, accuracy = 1.00
test_object =    10, predicted_class =   2, true_class =   2, nn =    94, distance =    0.24, accuracy = 1.00
test_object =    11, predicted_class =   2, true_class =   2, nn =    41, distance =    0.29, accuracy = 1.00
test_object =    12, predicted_class =   1, true_class =   1, nn =    35, distance =    0.17, accuracy = 1.00
test_object =    13, predicted_class =   3, true_class =   3, nn =    82, distance =    0.15, accuracy = 1.00
test_object =    14, predicted_class =   2, true_class =   2, nn =    17, distance =    0.40, accuracy = 1.00
test_object =    15, predicted_class =   1, true_class =   1, nn =    61, distance =    0.32, accuracy = 1.00
test_object =    16, predicted_class =   1, true_class =   1, nn =    14, distance =    0.24, accuracy = 1.00
test_object =    17, predicted_class =   2, true_class =   2, nn =    33, distance =    0.32, accuracy = 1.00
test_object =    18, predicted_class =   2, true_class =   2, nn =    41, distance =    0.38, accuracy = 1.00
test_object =    19, predicted_class =   1, true_class =   1, nn =    22, distance =    0.37, accuracy = 1.00
test_object =    20, predicted_class =   2, true_class =   2, nn =    34, distance =    0.65, accuracy = 1.00
test_object =    21, predicted_class =   3, true_class =   3, nn =    91, distance =    0.28, accuracy = 1.00
test_object =    22, predicted_class =   3, true_class =   3, nn =    82, distance =    0.95, accuracy = 1.00
test_object =    23, predicted_class =   1, true_class =   1, nn =    60, distance =    0.24, accuracy = 1.00
test_object =    24, predicted_class =   3, true_class =   3, nn =    68, distance =    0.23, accuracy = 1.00
test_object =    25, predicted_class =   2, true_class =   2, nn =    33, distance =    0.34, accuracy = 1.00
test_object =    26, predicted_class =   3, true_class =   3, nn =    11, distance =    0.29, accuracy = 1.00
test_object =    27, predicted_class =   3, true_class =   3, nn =    11, distance =    0.23, accuracy = 1.00
test_object =    28, predicted_class =   3, true_class =   3, nn =     2, distance =    0.26, accuracy = 1.00
test_object =    29, predicted_class =   1, true_class =   1, nn =    66, distance =    0.14, accuracy = 1.00
test_object =    30, predicted_class =   1, true_class =   1, nn =    54, distance =    0.37, accuracy = 1.00
test_object =    31, predicted_class =   2, true_class =   2, nn =    15, distance =    0.51, accuracy = 1.00
test_object =    32, predicted_class =   1, true_class =   1, nn =    14, distance =    0.17, accuracy = 1.00
test_object =    33, predicted_class =   3, true_class =   3, nn =    23, distance =    0.45, accuracy = 1.00
test_object =    34, predicted_class =   3, true_class =   3, nn =    47, distance =    0.64, accuracy = 1.00
test_object =    35, predicted_class =   3, true_class =   3, nn =    68, distance =    0.28, accuracy = 1.00
test_object =    36, predicted_class =   2, true_class =   2, nn =    89, distance =    0.68, accuracy = 1.00
test_object =    37, predicted_class =   2, true_class =   3, nn =    19, distance =    0.36, accuracy = 0.00
test_object =    38, predicted_class =   2, true_class =   2, nn =     3, distance =    0.73, accuracy = 1.00
test_object =    39, predicted_class =   1, true_class =   1, nn =    72, distance =    0.11, accuracy = 1.00
test_object =    40, predicted_class =   1, true_class =   1, nn =    99, distance =    0.22, accuracy = 1.00
test_object =    41, predicted_class =   1, true_class =   1, nn =    30, distance =    0.38, accuracy = 1.00
test_object =    42, predicted_class =   2, true_class =   2, nn =    49, distance =    0.74, accuracy = 1.00
test_object =    43, predicted_class =   1, true_class =   1, nn =    25, distance =    0.30, accuracy = 1.00
test_object =    44, predicted_class =   3, true_class =   3, nn =    91, distance =    0.27, accuracy = 1.00
test_object =    45, predicted_class =   1, true_class =   1, nn =    45, distance =    0.27, accuracy = 1.00
test_object =    46, predicted_class =   2, true_class =   3, nn =    88, distance =    0.36, accuracy = 0.00
test_object =    47, predicted_class =   3, true_class =   3, nn =    28, distance =    0.48, accuracy = 1.00
test_object =    48, predicted_class =   1, true_class =   1, nn =    22, distance =    0.14, accuracy = 1.00
test_object =    49, predicted_class =   3, true_class =   3, nn =     4, distance =    0.20, accuracy = 1.00


classification accuracy = 0.9200
