 3
reading data..
reading trainig data from : pendigits_training.txt
reading test data from : pendigits_test.txt
handling NNC with K:3
test_object =     0, predicted_class =   8, true_class =   8, nn =   270, distance =    0.75, accuracy = 1.00
test_object =     1, predicted_class =   8, true_class =   8, nn =   738, distance =    1.11, accuracy = 1.00
test_object =     2, predicted_class =   8, true_class =   8, nn =  7159, distance =    1.75, accuracy = 1.00
test_object =     3, predicted_class =   9, true_class =   9, nn =  4051, distance =    1.04, accuracy = 1.00
test_object =     4, predicted_class =   9, true_class =   9, nn =  4252, distance =    1.17, accuracy = 1.00
test_object =     5, predicted_class =   1, true_class =   1, nn =  2174, distance =    0.70, accuracy = 1.00
test_object =     6, predicted_class =   4, true_class =   4, nn =   371, distance =    1.38, accuracy = 1.00
test_object =     7, predicted_class =   3, true_class =   7, nn =  3385, distance =    0.94, accuracy = 0.00
test_object =     8, predicted_class =   9, true_class =   9, nn =  3564, distance =    1.23, accuracy = 1.00
test_object =     9, predicted_class =   9, true_class =   9, nn =  6958, distance =    1.06, accuracy = 1.00
test_object =    10, predicted_class =   9, true_class =   9, nn =  5337, distance =    1.00, accuracy = 1.00
test_object =    11, predicted_class =   0, true_class =   0, nn =  4558, distance =    0.59, accuracy = 1.00
test_object =    12, predicted_class =   2, true_class =   2, nn =  2747, distance =    0.70, accuracy = 1.00
test_object =    13, predicted_class =   0, true_class =   0, nn =  5215, distance =    0.69, accuracy = 1.00
test_object =    14, predicted_class =   5, true_class =   5, nn =  1242, distance =    0.70, accuracy = 1.00
test_object =    15, predicted_class =   9, true_class =   9, nn =  6874, distance =    1.12, accuracy = 1.00
test_object =    16, predicted_class =   3, true_class =   3, nn =  1610, distance =    0.55, accuracy = 1.00
test_object =    17, predicted_class =   7, true_class =   7, nn =  6795, distance =    1.07, accuracy = 1.00
test_object =    18, predicted_class =   0, true_class =   0, nn =  4281, distance =    0.79, accuracy = 1.00
test_object =    19, predicted_class =   4, true_class =   4, nn =  5298, distance =    0.76, accuracy = 1.00
test_object =    20, predicted_class =   6, true_class =   6, nn =  5066, distance =    1.12, accuracy = 1.00
test_object =    21, predicted_class =   8, true_class =   8, nn =  7294, distance =    1.19, accuracy = 1.00
test_object =    22, predicted_class =   7, true_class =   7, nn =  5063, distance =    0.63, accuracy = 1.00
test_object =    23, predicted_class =   6, true_class =   6, nn =  3206, distance =    0.68, accuracy = 1.00
test_object =    24, predicted_class =   6, true_class =   6, nn =   141, distance =    0.70, accuracy = 1.00
test_object =    25, predicted_class =   0, true_class =   0, nn =  3618, distance =    0.52, accuracy = 1.00
test_object =    26, predicted_class =   4, true_class =   4, nn =  3988, distance =    0.70, accuracy = 1.00
test_object =    27, predicted_class =   0, true_class =   0, nn =  5623, distance =    0.86, accuracy = 1.00
test_object =    28, predicted_class =   4, true_class =   4, nn =  6100, distance =    0.49, accuracy = 1.00
test_object =    29, predicted_class =   1, true_class =   1, nn =  2519, distance =    1.08, accuracy = 1.00
test_object =    30, predicted_class =   9, true_class =   9, nn =  3782, distance =    0.74, accuracy = 1.00
test_object =    31, predicted_class =   3, true_class =   3, nn =  4233, distance =    0.55, accuracy = 1.00
test_object =    32, predicted_class =   5, true_class =   5, nn =   298, distance =    1.20, accuracy = 1.00
test_object =    33, predicted_class =   4, true_class =   4, nn =   224, distance =    1.49, accuracy = 1.00
test_object =    34, predicted_class =   4, true_class =   4, nn =  5081, distance =    1.18, accuracy = 1.00
test_object =    35, predicted_class =   1, true_class =   1, nn =  4134, distance =    0.54, accuracy = 1.00
test_object =    36, predicted_class =   1, true_class =   1, nn =  2889, distance =    0.56, accuracy = 1.00
test_object =    37, predicted_class =   0, true_class =   0, nn =  7113, distance =    0.57, accuracy = 1.00
test_object =    38, predicted_class =   5, true_class =   9, nn =  4395, distance =    1.55, accuracy = 0.00
test_object =    39, predicted_class =   7, true_class =   7, nn =   914, distance =    0.74, accuracy = 1.00
test_object =    40, predicted_class =   8, true_class =   8, nn =  1140, distance =    1.22, accuracy = 1.00
test_object =    41, predicted_class =   9, true_class =   3, nn =   473, distance =    3.32, accuracy = 0.00
test_object =    42, predicted_class =   5, true_class =   5, nn =  2177, distance =    1.03, accuracy = 1.00
test_object =    43, predicted_class =   6, true_class =   6, nn =  5202, distance =    0.62, accuracy = 1.00
test_object =    44, predicted_class =   0, true_class =   0, nn =  6817, distance =    0.76, accuracy = 1.00
test_object =    45, predicted_class =   8, true_class =   8, nn =   947, distance =    1.24, accuracy = 1.00
test_object =    46, predicted_class =   2, true_class =   2, nn =  2612, distance =    0.76, accuracy = 1.00
test_object =    47, predicted_class =   8, true_class =   8, nn =  7294, distance =    0.73, accuracy = 1.00
test_object =    48, predicted_class =   7, true_class =   7, nn =  4460, distance =    0.86, accuracy = 1.00
test_object =    49, predicted_class =   8, true_class =   8, nn =  5633, distance =    1.14, accuracy = 1.00
test_object =    50, predicted_class =   1, true_class =   1, nn =  3475, distance =    0.63, accuracy = 1.00
test_object =    51, predicted_class =   9, true_class =   9, nn =  2689, distance =    1.17, accuracy = 1.00
test_object =    52, predicted_class =   5, true_class =   5, nn =  5485, distance =    1.33, accuracy = 1.00
test_object =    53, predicted_class =   4, true_class =   4, nn =  3182, distance =    0.96, accuracy = 1.00
test_object =    54, predicted_class =   1, true_class =   1, nn =  4399, distance =    0.63, accuracy = 1.00
test_object =    55, predicted_class =   2, true_class =   2, nn =  7134, distance =    0.62, accuracy = 1.00
test_object =    56, predicted_class =   1, true_class =   1, nn =  2168, distance =    0.82, accuracy = 1.00
test_object =    57, predicted_class =   6, true_class =   6, nn =  6154, distance =    0.53, accuracy = 1.00
test_object =    58, predicted_class =   0, true_class =   0, nn =  6992, distance =    0.46, accuracy = 1.00
test_object =    59, predicted_class =   8, true_class =   8, nn =  6915, distance =    0.97, accuracy = 1.00
test_object =    60, predicted_class =   0, true_class =   0, nn =  1459, distance =    1.19, accuracy = 1.00
test_object =    61, predicted_class =   8, true_class =   8, nn =  6723, distance =    0.81, accuracy = 1.00
test_object =    62, predicted_class =   6, true_class =   6, nn =  6973, distance =    0.66, accuracy = 1.00
test_object =    63, predicted_class =   2, true_class =   2, nn =  3885, distance =    0.77, accuracy = 1.00
test_object =    64, predicted_class =   9, true_class =   9, nn =  5256, distance =    1.50, accuracy = 1.00
test_object =    65, predicted_class =   9, true_class =   9, nn =  6729, distance =    0.89, accuracy = 1.00
test_object =    66, predicted_class =   8, true_class =   8, nn =  4235, distance =    0.91, accuracy = 1.00
test_object =    67, predicted_class =   0, true_class =   0, nn =  2711, distance =    0.51, accuracy = 1.00
test_object =    68, predicted_class =   3, true_class =   3, nn =  1611, distance =    1.02, accuracy = 1.00
test_object =    69, predicted_class =   3, true_class =   3, nn =  3004, distance =    1.04, accuracy = 1.00
test_object =    70, predicted_class =   8, true_class =   8, nn =  5363, distance =    1.24, accuracy = 1.00
test_object =    71, predicted_class =   3, true_class =   3, nn =  2560, distance =    0.58, accuracy = 1.00
test_object =    72, predicted_class =   1, true_class =   1, nn =  2046, distance =    0.85, accuracy = 1.00
test_object =    73, predicted_class =   1, true_class =   1, nn =  4256, distance =    1.22, accuracy = 1.00
test_object =    74, predicted_class =   3, true_class =   3, nn =  6170, distance =    0.73, accuracy = 1.00
test_object =    75, predicted_class =   9, true_class =   9, nn =  5338, distance =    1.04, accuracy = 1.00
test_object =    76, predicted_class =   5, true_class =   5, nn =  2811, distance =    1.09, accuracy = 1.00
test_object =    77, predicted_class =   8, true_class =   8, nn =  1079, distance =    0.75, accuracy = 1.00
test_object =    78, predicted_class =   0, true_class =   0, nn =  5873, distance =    0.65, accuracy = 1.00
test_object =    79, predicted_class =   8, true_class =   8, nn =  2961, distance =    1.54, accuracy = 1.00
test_object =    80, predicted_class =   0, true_class =   0, nn =  4063, distance =    0.53, accuracy = 1.00
test_object =    81, predicted_class =   0, true_class =   0, nn =  2842, distance =    0.57, accuracy = 1.00
test_object =    82, predicted_class =   9, true_class =   9, nn =    10, distance =    1.27, accuracy = 1.00
