reading test data from : satellite_test_adj.txt
handling NNC with K:3
test_object =     0, predicted_class =   2, true_class =   2, nn =     5, distance =    1.28, accuracy = 1.00
test_object =     1, predicted_class =   2, true_class =   2, nn =     6, distance =    1.12, accuracy = 1.00
test_object =     2, predicted_class =   2, true_class =   3, nn =   123, distance =    1.12, accuracy = 0.00
test_object =     3, predicted_class =   3, true_class =   3, nn =  1283, distance =    1.00, accuracy = 1.00
test_object =     4, predicted_class =   3, true_class =   3, nn =   323, distance =    1.10, accuracy = 1.00
test_object =     5, predicted_class =   6, true_class =   3, nn =  2641, distance =    1.18, accuracy = 0.00
test_object =     6, predicted_class =   3, true_class =   3, nn =     8, distance =    0.96, accuracy = 1.00
test_object =     7, predicted_class =   3, true_class =   3, nn =  2840, distance =    1.11, accuracy = 1.00
test_object =     8, predicted_class =   3, true_class =   3, nn =  2248, distance =    0.99, accuracy = 1.00
test_object =     9, predicted_class =   3, true_class =   3, nn =  3084, distance =    1.18, accuracy = 1.00
test_object =    10, predicted_class =   3, true_class =   3, nn =    14, distance =    1.03, accuracy = 1.00
test_object =    11, predicted_class =   3, true_class =   3, nn =    14, distance =    0.94, accuracy = 1.00
test_object =    12, predicted_class =   3, true_class =   3, nn =    14, distance =    0.95, accuracy = 1.00
test_object =    13, predicted_class =   3, true_class =   3, nn =    14, distance =    0.90, accuracy = 1.00
test_object =    14, predicted_class =   2, true_class =   2, nn =  2507, distance =    1.12, accuracy = 1.00
test_object =    15, predicted_class =   2, true_class =   2, nn =   353, distance =    1.19, accuracy = 1.00
test_object =    16, predicted_class =   2, true_class =   2, nn =  3588, distance =    0.97, accuracy = 1.00
test_object =    17, predicted_class =   2, true_class =   2, nn =    28, distance =    0.98, accuracy = 1.00
test_object =    18, predicted_class =   2, true_class =   2, nn =   412, distance =    0.99, accuracy = 1.00
test_object =    19, predicted_class =   2, true_class =   2, nn =   438, distance =    1.16, accuracy = 1.00
test_object =    20, predicted_class =   2, true_class =   2, nn =   723, distance =    1.13, accuracy = 1.00
test_object =    21, predicted_class =   2, true_class =   2, nn =   727, distance =    1.27, accuracy = 1.00
test_object =    22, predicted_class =   2, true_class =   2, nn =   728, distance =    1.18, accuracy = 1.00
test_object =    23, predicted_class =   2, true_class =   2, nn =    25, distance =    1.18, accuracy = 1.00
test_object =    24, predicted_class =   2, true_class =   2, nn =   367, distance =    1.00, accuracy = 1.00
test_object =    25, predicted_class =   2, true_class =   2, nn =  3707, distance =    1.10, accuracy = 1.00
test_object =    26, predicted_class =   3, true_class =   2, nn =  2113, distance =    0.97, accuracy = 0.00
test_object =    27, predicted_class =   4, true_class =   4, nn =  1735, distance =    2.10, accuracy = 1.00
test_object =    28, predicted_class =   6, true_class =   6, nn =  1203, distance =    1.26, accuracy = 1.00
test_object =    29, predicted_class =   6, true_class =   6, nn =  1146, distance =    1.19, accuracy = 1.00
test_object =    30, predicted_class =   4, true_class =   6, nn =  2368, distance =    1.13, accuracy = 0.00
test_object =    31, predicted_class =   4, true_class =   4, nn =    53, distance =    0.90, accuracy = 1.00
test_object =    32, predicted_class =   2, true_class =   2, nn =   317, distance =    2.53, accuracy = 1.00
test_object =    33, predicted_class =   2, true_class =   2, nn =    59, distance =    1.21, accuracy = 1.00
test_object =    34, predicted_class =   2, true_class =   3, nn =   321, distance =    1.24, accuracy = 0.00
test_object =    35, predicted_class =   3, true_class =   3, nn =    63, distance =    1.12, accuracy = 1.00
test_object =    36, predicted_class =   3, true_class =   3, nn =    63, distance =    1.03, accuracy = 1.00
test_object =    37, predicted_class =   3, true_class =   3, nn =    63, distance =    0.99, accuracy = 1.00
test_object =    38, predicted_class =   3, true_class =   3, nn =  2248, distance =    0.94, accuracy = 1.00
test_object =    39, predicted_class =   3, true_class =   3, nn =  3035, distance =    0.95, accuracy = 1.00
test_object =    40, predicted_class =   3, true_class =   3, nn =  2626, distance =    1.09, accuracy = 1.00
test_object =    41, predicted_class =   1, true_class =   3, nn =   203, distance =    1.75, accuracy = 0.00
test_object =    42, predicted_class =   2, true_class =   2, nn =   477, distance =    1.25, accuracy = 1.00
test_object =    43, predicted_class =   2, true_class =   2, nn =   500, distance =    0.94, accuracy = 1.00
test_object =    44, predicted_class =   2, true_class =   2, nn =   479, distance =    0.88, accuracy = 1.00
test_object =    45, predicted_class =   2, true_class =   2, nn =   412, distance =    0.89, accuracy = 1.00
test_object =    46, predicted_class =   2, true_class =   2, nn =   413, distance =    0.84, accuracy = 1.00
test_object =    47, predicted_class =   2, true_class =   2, nn =   215, distance =    0.88, accuracy = 1.00
test_object =    48, predicted_class =   2, true_class =   2, nn =   430, distance =    0.89, accuracy = 1.00
test_object =    49, predicted_class =   2, true_class =   2, nn =   542, distance =    0.89, accuracy = 1.00
test_object =    50, predicted_class =   2, true_class =   2, nn =   101, distance =    1.16, accuracy = 1.00
test_object =    51, predicted_class =   3, true_class =   2, nn =  2258, distance =    1.01, accuracy = 0.00
test_object =    52, predicted_class =   2, true_class =   2, nn =     3, distance =    0.90, accuracy = 1.00
test_object =    53, predicted_class =   2, true_class =   4, nn =   103, distance =    1.90, accuracy = 0.00
test_object =    54, predicted_class =   3, true_class =   4, nn =  2101, distance =    2.10, accuracy = 0.00
test_object =    55, predicted_class =   2, true_class =   2, nn =  3656, distance =    1.63, accuracy = 1.00
test_object =    56, predicted_class =   2, true_class =   6, nn =  4009, distance =    1.28, accuracy = 0.00
test_object =    57, predicted_class =   6, true_class =   6, nn =   239, distance =    1.40, accuracy = 1.00
test_object =    58, predicted_class =   6, true_class =   6, nn =  1310, distance =    1.00, accuracy = 1.00
test_object =    59, predicted_class =   2, true_class =   2, nn =  3150, distance =    2.36, accuracy = 1.00
test_object =    60, predicted_class =   2, true_class =   2, nn =   121, distance =    1.21, accuracy = 1.00
test_object =    61, predicted_class =   2, true_class =   2, nn =   191, distance =    1.21, accuracy = 1.00
test_object =    62, predicted_class =   3, true_class =   3, nn =   125, distance =    1.03, accuracy = 1.00
test_object =    63, predicted_class =   3, true_class =   3, nn =  2788, distance =    0.98, accuracy = 1.00
test_object =    64, predicted_class =   3, true_class =   3, nn =   200, distance =    0.99, accuracy = 1.00
test_object =    65, predicted_class =   3, true_class =   3, nn =   129, distance =    0.96, accuracy = 1.00
test_object =    66, predicted_class =   6, true_class =   3, nn =  2117, distance =    1.19, accuracy = 0.00
test_object =    67, predicted_class =   6, true_class =   3, nn =  2069, distance =    1.13, accuracy = 0.00
test_object =    68, predicted_class =   6, true_class =   3, nn =  2224, distance =    1.24, accuracy = 0.00
test_object =    69, predicted_class =   3, true_class =   3, nn =    71, distance =    1.61, accuracy = 1.00
test_object =    70, predicted_class =   1, true_class =   3, nn =   203, distance =    1.85, accuracy = 0.00
test_object =    71, predicted_class =   1, true_class =   1, nn =   134, distance =    2.19, accuracy = 1.00
test_object =    72, predicted_class =   2, true_class =   2, nn =   537, distance =    0.89, accuracy = 1.00
test_object =    73, predicted_class =   2, true_class =   2, nn =   486, distance =    1.10, accuracy = 1.00
test_object =    74, predicted_class =   2, true_class =   2, nn =  3650, distance =    1.04, accuracy = 1.00
test_object =    75, predicted_class =   2, true_class =   2, nn =  4254, distance =    1.04, accuracy = 1.00
test_object =    76, predicted_class =   2, true_class =   2, nn =   457, distance =    0.92, accuracy = 1.00
test_object =    77, predicted_class =   2, true_class =   2, nn =   172, distance =    1.15, accuracy = 1.00
test_object =    78, predicted_class =   3, true_class =   2, nn =  2310, distance =    1.03, accuracy = 0.00
test_object =    79, predicted_class =   6, true_class =   6, nn =  1253, distance =    1.09, accuracy = 1.00
test_object =    80, predicted_class =   6, true_class =   6, nn =  1205, distance =    0.95, accuracy = 1.00
test_object =    81, predicted_class =   2, true_class =   2, nn =   251, distance =    1.97, accuracy = 1.00
test_object =    82, predicted_class =   2, true_class =   2, nn =  2555, distance =    1.09, accuracy = 1.00
test_object =    83, predicted_class =   2, true_class =   2, nn =   121, distance =    1.10, accuracy = 1.00
test_object =    84, predicted_class =   2, true_class =   3, nn =   320, distance =    0.99, accuracy = 0.00
test_object =    85, predicted_class =   3, true_class =   3, nn =  2450, distance =    1.12, accuracy = 1.00
test_object =    86, predicted_class =   3, true_class =   3, nn =   197, distance =    0.96, accuracy = 1.00
test_object =    87, predicted_class =   3, true_class =   3, nn =  2200, distance =    1.27, accuracy = 1.00
test_object =    88, predicted_class =   3, true_class =   3, nn =    71, distance =    1.72, accuracy = 1.00
test_object =    89, predicted_class =   1, true_class =   1, nn =   132, distance =    1.70, accuracy = 1.00
test_object =    90, predicted_class =   1, true_class =   1, nn =   133, distance =    1.66, accuracy = 1.00
test_object =    91, predicted_class =   1, true_class =   1, nn =   269, distance =    1.25, accuracy = 1.00
test_object =    92, predicted_class =   2, true_class =   2, nn =   592, distance =    1.15, accuracy = 1.00
test_object =    93, predicted_class =   2, true_class =   2, nn =   218, distance =    0.98, accuracy = 1.00
test_object =    94, predicted_class =   2, true_class =   2, nn =   727, distance =    0.87, accuracy = 1.00
test_object =    95, predicted_class =   2, true_class =   2, nn =   214, distance =    0.88, accuracy = 1.00
test_object =    96, predicted_class =   2, true_class =   2, nn =   790, distance =    0.88, accuracy = 1.00
test_object =    97, predicted_class =   2, true_class =   2, nn =   151, distance =    1.17, accuracy = 1.00
test_object =    98, predicted_class =   2, true_class =   2, nn =   542, distance =    1.12, accuracy = 1.00
test_object =    99, predicted_class =   2, true_class =   2, nn =   600, distance =    0.94, accuracy = 1.00
test_object =   100, predicted_class =   3, true_class =   2, nn =  2016, distance =    0.96, accuracy = 0.00
test_object =   101, predicted_class =   2, true_class =   2, nn =     2, distance =    1.08, accuracy = 1.00
test_object =   102, predicted_class =   2, true_class =   2, nn =   232, distance =    0.99, accuracy = 1.00
test_object =   103, predicted_class =   3, true_class =   2, nn =  2208, distance =    0.95, accuracy = 0.00
test_object =   104, predicted_class =   2, true_class =   2, nn =   456, distance =    1.11, accuracy = 1.00
test_object =   105, predicted_class =   2, true_class =   2, nn =   228, distance =    0.90, accuracy = 1.00
test_object =   106, predicted_class =   2, true_class =   2, nn =   276, distance =    1.01, accuracy = 1.00
test_object =   107, predicted_class =   3, true_class =   2, nn =  2163, distance =    1.02, accuracy = 0.00
test_object =   108, predicted_class =   6, true_class =   6, nn =   380, distance =    1.28, accuracy = 1.00
test_object =   109, predicted_class =   2, true_class =   2, nn =   319, distance =    1.10, accuracy = 1.00
test_object =   110, predicted_class =   3, true_class =   3, nn =   256, distance =    1.16, accuracy = 1.00
test_object =   111, predicted_class =   3, true_class =   3, nn =   259, distance =    0.85, accuracy = 1.00
test_object =   112, predicted_class =   1, true_class =   1, nn =   133, distance =    1.61, accuracy = 1.00
test_object =   113, predicted_class =   1, true_class =   1, nn =   206, distance =    1.45, accuracy = 1.00
test_object =   114, predicted_class =   1, true_class =   1, nn =   271, distance =    1.02, accuracy = 1.00
test_object =   115, predicted_class =   1, true_class =   1, nn =   474, distance =    1.76, accuracy = 1.00
test_object =   116, predicted_class =   2, true_class =   2, nn =   663, distance =    1.45, accuracy = 1.00
test_object =   117, predicted_class =   2, true_class =   2, nn =   411, distance =    1.07, accuracy = 1.00
test_object =   118, predicted_class =   2, true_class =   2, nn =   150, distance =    0.95, accuracy = 1.00
test_object =   119, predicted_class =   2, true_class =   2, nn =   539, distance =    0.96, accuracy = 1.00
test_object =   120, predicted_class =   2, true_class =   2, nn =   290, distance =    1.04, accuracy = 1.00
test_object =   121, predicted_class =   2, true_class =   2, nn =    29, distance =    0.98, accuracy = 1.00
test_object =   122, predicted_class =   3, true_class =   2, nn =  1816, distance =    1.14, accuracy = 0.00
