test_object =     0, predicted_class =   0, true_class =   0, nn =   130, distance =    0.34, accuracy = 0.00
test_object =     1, predicted_class =   0, true_class =   0, nn =   115, distance =    0.40, accuracy = 0.00
test_object =     2, predicted_class =   1, true_class =   1, nn =   172, distance =    0.35, accuracy = 1.00
test_object =     3, predicted_class =   1, true_class =   1, nn =    10, distance =    0.35, accuracy = 0.00
test_object =     4, predicted_class =   0, true_class =   0, nn =   110, distance =    0.35, accuracy = 0.00
test_object =     5, predicted_class =   0, true_class =   0, nn =    46, distance =    0.35, accuracy = 0.00
test_object =     6, predicted_class =   0, true_class =   0, nn =     5, distance =    0.35, accuracy = 0.00
test_object =     7, predicted_class =   0, true_class =   0, nn =    60, distance =    0.35, accuracy = 1.00
test_object =     8, predicted_class =   0, true_class =   0, nn =   130, distance =    0.34, accuracy = 0.00
test_object =     9, predicted_class =   1, true_class =   0, nn =    43, distance =    0.38, accuracy = 0.00
test_object =    10, predicted_class =   0, true_class =   1, nn =    16, distance =    0.39, accuracy = 0.00
test_object =    11, predicted_class =   1, true_class =   0, nn =     3, distance =    0.40, accuracy = 0.00
test_object =    12, predicted_class =   1, true_class =   1, nn =    64, distance =    0.35, accuracy = 0.00
test_object =    13, predicted_class =   0, true_class =   0, nn =   110, distance =    0.35, accuracy = 0.00
test_object =    14, predicted_class =   0, true_class =   1, nn =    42, distance =    0.34, accuracy = 0.00
test_object =    15, predicted_class =   0, true_class =   0, nn =    34, distance =    0.39, accuracy = 1.00
test_object =    16, predicted_class =   0, true_class =   1, nn =    35, distance =    0.40, accuracy = 0.00
test_object =    17, predicted_class =   0, true_class =   0, nn =    74, distance =    0.38, accuracy = 1.00
test_object =    18, predicted_class =   1, true_class =   1, nn =    10, distance =    0.35, accuracy = 0.00
test_object =    19, predicted_class =   0, true_class =   0, nn =    53, distance =    0.35, accuracy = 0.00
test_object =    20, predicted_class =   0, true_class =   0, nn =    36, distance =    0.34, accuracy = 0.00
test_object =    21, predicted_class =   1, true_class =   0, nn =    90, distance =    0.38, accuracy = 0.00
test_object =    22, predicted_class =   1, true_class =   0, nn =    43, distance =    0.38, accuracy = 0.00
test_object =    23, predicted_class =   0, true_class =   0, nn =    34, distance =    0.39, accuracy = 1.00
test_object =    24, predicted_class =   0, true_class =   1, nn =   184, distance =    0.34, accuracy = 0.00
test_object =    25, predicted_class =   0, true_class =   0, nn =    31, distance =    0.40, accuracy = 0.00
test_object =    26, predicted_class =   0, true_class =   0, nn =    62, distance =    0.34, accuracy = 0.00
test_object =    27, predicted_class =   0, true_class =   0, nn =   303, distance =    0.38, accuracy = 0.00
test_object =    28, predicted_class =   1, true_class =   0, nn =    43, distance =    0.38, accuracy = 0.00
test_object =    29, predicted_class =   0, true_class =   0, nn =    53, distance =    0.35, accuracy = 0.00
test_object =    30, predicted_class =   0, true_class =   1, nn =     5, distance =    0.35, accuracy = 0.00
test_object =    31, predicted_class =   1, true_class =   0, nn =    14, distance =    0.39, accuracy = 0.00
test_object =    32, predicted_class =   1, true_class =   0, nn =    90, distance =    0.38, accuracy = 0.00
test_object =    33, predicted_class =   0, true_class =   1, nn =   101, distance =    0.34, accuracy = 0.00
test_object =    34, predicted_class =   1, true_class =   1, nn =    66, distance =    0.35, accuracy = 0.00
test_object =    35, predicted_class =   0, true_class =   1, nn =    18, distance =    0.38, accuracy = 0.00
test_object =    36, predicted_class =   0, true_class =   0, nn =    32, distance =    0.35, accuracy = 0.00
test_object =    37, predicted_class =   1, true_class =   0, nn =    90, distance =    0.38, accuracy = 0.00
test_object =    38, predicted_class =   0, true_class =   0, nn =   137, distance =    0.34, accuracy = 0.00
test_object =    39, predicted_class =   1, true_class =   1, nn =    70, distance =    0.34, accuracy = 0.00
test_object =    40, predicted_class =   0, true_class =   0, nn =    12, distance =    0.39, accuracy = 1.00
test_object =    41, predicted_class =   0, true_class =   0, nn =    49, distance =    0.34, accuracy = 0.00
test_object =    42, predicted_class =   0, true_class =   0, nn =    17, distance =    0.38, accuracy = 0.00
test_object =    43, predicted_class =   0, true_class =   0, nn =   137, distance =    0.34, accuracy = 0.00
test_object =    44, predicted_class =   0, true_class =   0, nn =    33, distance =    0.35, accuracy = 0.00
test_object =    45, predicted_class =   0, true_class =   0, nn =    52, distance =    0.40, accuracy = 0.00
test_object =    46, predicted_class =   0, true_class =   1, nn =    34, distance =    0.39, accuracy = 0.00
test_object =    47, predicted_class =   1, true_class =   1, nn =   172, distance =    0.35, accuracy = 1.00
test_object =    48, predicted_class =   0, true_class =   0, nn =    91, distance =    0.34, accuracy = 0.00
test_object =    49, predicted_class =   0, true_class =   0, nn =     8, distance =    0.40, accuracy = 0.00
test_object =    50, predicted_class =   1, true_class =   1, nn =    10, distance =    0.35, accuracy = 0.00
test_object =    51, predicted_class =   1, true_class =   0, nn =    24, distance =    0.40, accuracy = 0.00
test_object =    52, predicted_class =   1, true_class =   1, nn =   131, distance =    0.35, accuracy = 0.00
test_object =    53, predicted_class =   0, true_class =   0, nn =     4, distance =    0.35, accuracy = 1.00
test_object =    54, predicted_class =   0, true_class =   0, nn =     0, distance =    0.34, accuracy = 1.00
test_object =    55, predicted_class =   0, true_class =   0, nn =    32, distance =    0.35, accuracy = 0.00
test_object =    56, predicted_class =   0, true_class =   0, nn =   101, distance =    0.34, accuracy = 1.00
test_object =    57, predicted_class =   1, true_class =   0, nn =    24, distance =    0.40, accuracy = 0.00
test_object =    58, predicted_class =   0, true_class =   0, nn =    41, distance =    0.34, accuracy = 0.00
test_object =    59, predicted_class =   1, true_class =   0, nn =    90, distance =    0.38, accuracy = 0.00
test_object =    60, predicted_class =   1, true_class =   1, nn =    64, distance =    0.35, accuracy = 0.00
test_object =    61, predicted_class =   0, true_class =   1, nn =    20, distance =    0.34, accuracy = 0.00
test_object =    62, predicted_class =   0, true_class =   1, nn =    42, distance =    0.34, accuracy = 0.00
test_object =    63, predicted_class =   0, true_class =   0, nn =     8, distance =    0.40, accuracy = 0.00
test_object =    64, predicted_class =   0, true_class =   0, nn =    27, distance =    0.38, accuracy = 0.00
test_object =    65, predicted_class =   0, true_class =   0, nn =    62, distance =    0.34, accuracy = 0.00
test_object =    66, predicted_class =   0, true_class =   0, nn =     6, distance =    0.35, accuracy = 1.00
test_object =    67, predicted_class =   1, true_class =   1, nn =    10, distance =    0.35, accuracy = 0.00
test_object =    68, predicted_class =   0, true_class =   0, nn =    18, distance =    0.38, accuracy = 0.00
test_object =    69, predicted_class =   0, true_class =   0, nn =     0, distance =    0.34, accuracy = 1.00
test_object =    70, predicted_class =   0, true_class =   1, nn =    20, distance =    0.34, accuracy = 0.00
test_object =    71, predicted_class =   1, true_class =   1, nn =    64, distance =    0.35, accuracy = 0.00
test_object =    72, predicted_class =   1, true_class =   1, nn =    10, distance =    0.35, accuracy = 0.00
test_object =    73, predicted_class =   0, true_class =   0, nn =   116, distance =    0.40, accuracy = 1.00
test_object =    74, predicted_class =   0, true_class =   0, nn =    74, distance =    0.38, accuracy = 1.00
test_object =    75, predicted_class =   0, true_class =   0, nn =   115, distance =    0.40, accuracy = 0.00
test_object =    76, predicted_class =   0, true_class =   0, nn =    33, distance =    0.35, accuracy = 0.00
test_object =    77, predicted_class =   0, true_class =   0, nn =   158, distance =    0.34, accuracy = 0.00
test_object =    78, predicted_class =   0, true_class =   0, nn =    62, distance =    0.34, accuracy = 0.00
test_object =    79, predicted_class =   0, true_class =   0, nn =    41, distance =    0.34, accuracy = 0.00
test_object =    80, predicted_class =   0, true_class =   0, nn =    62, distance =    0.34, accuracy = 0.00
test_object =    81, predicted_class =   0, true_class =   0, nn =    68, distance =    0.34, accuracy = 1.00
test_object =    82, predicted_class =   1, true_class =   1, nn =   172, distance =    0.35, accuracy = 1.00
test_object =    83, predicted_class =   0, true_class =   0, nn =    49, distance =    0.34, accuracy = 0.00
test_object =    84, predicted_class =   0, true_class =   0, nn =     6, distance =    0.35, accuracy = 1.00
test_object =    85, predicted_class =   0, true_class =   0, nn =    33, distance =    0.35, accuracy = 0.00
test_object =    86, predicted_class =   0, true_class =   0, nn =    42, distance =    0.34, accuracy = 0.00
test_object =    87, predicted_class =   0, true_class =   0, nn =   158, distance =    0.34, accuracy = 0.00
test_object =    88, predicted_class =   0, true_class =   0, nn =   110, distance =    0.35, accuracy = 0.00
test_object =    89, predicted_class =   0, true_class =   0, nn =    91, distance =    0.34, accuracy = 0.00
test_object =    90, predicted_class =   1, true_class =   1, nn =    55, distance =    0.40, accuracy = 1.00
test_object =    91, predicted_class =   1, true_class =   1, nn =   131, distance =    0.35, accuracy = 0.00
test_object =    92, predicted_class =   0, true_class =   0, nn =    49, distance =    0.34, accuracy = 0.00
test_object =    93, predicted_class =   0, true_class =   1, nn =    42, distance =    0.34, accuracy = 0.00
test_object =    94, predicted_class =   0, true_class =   0, nn =    74, distance =    0.38, accuracy = 1.00
test_object =    95, predicted_class =   1, true_class =   1, nn =    66, distance =    0.35, accuracy = 0.00
test_object =    96, predicted_class =   0, true_class =   0, nn =    34, distance =    0.39, accuracy = 1.00
test_object =    97, predicted_class =   0, true_class =   0, nn =   101, distance =    0.34, accuracy = 1.00
test_object =    98, predicted_class =   0, true_class =   0, nn =   130, distance =    0.34, accuracy = 0.00
test_object =    99, predicted_class =   1, true_class =   0, nn =    90, distance =    0.38, accuracy = 0.00
test_object =   100, predicted_class =   0, true_class =   0, nn =   158, distance =    0.34, accuracy = 0.00
test_object =   101, predicted_class =   1, true_class =   0, nn =    70, distance =    0.34, accuracy = 0.00
test_object =   102, predicted_class =   0, true_class =   0, nn =    62, distance =    0.34, accuracy = 0.00
test_object =   103, predicted_class =   0, true_class =   0, nn =    42, distance =    0.34, accuracy = 0.00
test_object =   104, predicted_class =   0, true_class =   0, nn =    33, distance =    0.35, accuracy = 0.00
test_object =   105, predicted_class =   0, true_class =   0, nn =    41, distance =    0.34, accuracy = 0.00
test_object =   106, predicted_class =   0, true_class =   0, nn =   158, distance =    0.34, accuracy = 0.00
test_object =   107, predicted_class =   0, true_class =   0, nn =    32, distance =    0.35, accuracy = 0.00
test_object =   108, predicted_class =   0, true_class =   0, nn =     0, distance =    0.34, accuracy = 1.00
test_object =   109, predicted_class =   1, true_class =   0, nn =    14, distance =    0.39, accuracy = 0.00
test_object =   110, predicted_class =   0, true_class =   0, nn =    32, distance =    0.35, accuracy = 0.00
test_object =   111, predicted_class =   0, true_class =   0, nn =    17, distance =    0.38, accuracy = 0.00
test_object =   112, predicted_class =   0, true_class =   0, nn =    52, distance =    0.40, accuracy = 0.00
test_object =   113, predicted_class =   0, true_class =   0, nn =   137, distance =    0.34, accuracy = 0.00
test_object =   114, predicted_class =   0, true_class =   1, nn =     2, distance =    0.35, accuracy = 0.00
test_object =   115, predicted_class =   0, true_class =   0, nn =    68, distance =    0.34, accuracy = 1.00
test_object =   116, predicted_class =   1, true_class =   0, nn =    43, distance =    0.38, accuracy = 0.00
test_object =   117, predicted_class =   0, true_class =   0, nn =   115, distance =    0.40, accuracy = 0.00
