reading test data from : yeast_test_adj.txt
handling NNC with K:3
test_object =     0, predicted_class =   2, true_class =   2, nn =   513, distance =    0.30, accuracy = 1.00
test_object =     1, predicted_class =   6, true_class =   6, nn =   615, distance =    0.60, accuracy = 1.00
test_object =     2, predicted_class =   6, true_class =   6, nn =   296, distance =    0.36, accuracy = 1.00
test_object =     3, predicted_class =   6, true_class =   1, nn =   365, distance =    0.82, accuracy = 0.00
test_object =     4, predicted_class =   6, true_class =   1, nn =   811, distance =    0.56, accuracy = 0.00
test_object =     5, predicted_class =   1, true_class =   1, nn =   319, distance =    0.56, accuracy = 1.00
test_object =     6, predicted_class =   8, true_class =   6, nn =   842, distance =    0.36, accuracy = 0.00
test_object =     7, predicted_class =   0, true_class =   0, nn =   104, distance =    0.40, accuracy = 1.00
test_object =     8, predicted_class =   6, true_class =   6, nn =   862, distance =    0.34, accuracy = 1.00
test_object =     9, predicted_class =   6, true_class =   6, nn =   339, distance =    0.75, accuracy = 1.00
test_object =    10, predicted_class =   4, true_class =   2, nn =   171, distance =    0.68, accuracy = 0.00
test_object =    11, predicted_class =   0, true_class =   5, nn =   675, distance =    0.40, accuracy = 0.00
test_object =    12, predicted_class =   1, true_class =   1, nn =   422, distance =    0.14, accuracy = 1.00
test_object =    13, predicted_class =   6, true_class =   4, nn =   441, distance =    0.59, accuracy = 0.00
test_object =    14, predicted_class =   4, true_class =   4, nn =   284, distance =    0.57, accuracy = 1.00
test_object =    15, predicted_class =   6, true_class =   6, nn =   211, distance =    0.27, accuracy = 1.00
test_object =    16, predicted_class =   0, true_class =   2, nn =   141, distance =    0.70, accuracy = 0.00
test_object =    17, predicted_class =   1, true_class =   1, nn =   167, distance =    0.66, accuracy = 1.00
test_object =    18, predicted_class =   1, true_class =   2, nn =   774, distance =    0.98, accuracy = 0.00
test_object =    19, predicted_class =   6, true_class =   1, nn =   466, distance =    0.57, accuracy = 0.00
test_object =    20, predicted_class =   6, true_class =   1, nn =   203, distance =    0.79, accuracy = 0.00
test_object =    21, predicted_class =   1, true_class =   2, nn =   760, distance =    1.68, accuracy = 0.00
test_object =    22, predicted_class =   0, true_class =   1, nn =   694, distance =    0.31, accuracy = 0.00
test_object =    23, predicted_class =   0, true_class =   4, nn =   517, distance =    0.98, accuracy = 0.00
test_object =    24, predicted_class =   1, true_class =   2, nn =    46, distance =    0.95, accuracy = 0.00
test_object =    25, predicted_class =   1, true_class =   1, nn =   185, distance =    0.97, accuracy = 1.00
test_object =    26, predicted_class =   6, true_class =   1, nn =   940, distance =    0.53, accuracy = 0.00
test_object =    27, predicted_class =   6, true_class =   6, nn =   198, distance =    0.37, accuracy = 1.00
test_object =    28, predicted_class =   8, true_class =   2, nn =   711, distance =    0.83, accuracy = 0.00
test_object =    29, predicted_class =   0, true_class =   8, nn =    26, distance =    1.49, accuracy = 0.00
test_object =    30, predicted_class =   0, true_class =   6, nn =   706, distance =    0.84, accuracy = 0.00
test_object =    31, predicted_class =   6, true_class =   6, nn =    69, distance =    0.42, accuracy = 1.00
test_object =    32, predicted_class =   6, true_class =   6, nn =   757, distance =    1.17, accuracy = 1.00
test_object =    33, predicted_class =   0, true_class =   0, nn =   370, distance =    0.46, accuracy = 1.00
test_object =    34, predicted_class =   6, true_class =   6, nn =   757, distance =    1.06, accuracy = 1.00
test_object =    35, predicted_class =   2, true_class =   2, nn =   196, distance =    0.60, accuracy = 1.00
test_object =    36, predicted_class =   2, true_class =   2, nn =   885, distance =    0.83, accuracy = 1.00
test_object =    37, predicted_class =   6, true_class =   1, nn =   530, distance =    0.33, accuracy = 0.00
test_object =    38, predicted_class =   1, true_class =   6, nn =   158, distance =    0.52, accuracy = 0.00
test_object =    39, predicted_class =   6, true_class =   6, nn =   459, distance =    0.91, accuracy = 1.00
test_object =    40, predicted_class =   1, true_class =   2, nn =   696, distance =    0.52, accuracy = 0.00
test_object =    41, predicted_class =   4, true_class =   8, nn =   974, distance =    0.76, accuracy = 0.00
test_object =    42, predicted_class =   6, true_class =   0, nn =   629, distance =    0.69, accuracy = 0.00
test_object =    43, predicted_class =   6, true_class =   1, nn =   811, distance =    0.65, accuracy = 0.00
test_object =    44, predicted_class =   6, true_class =   1, nn =   411, distance =    0.94, accuracy = 0.00
test_object =    45, predicted_class =   1, true_class =   1, nn =   257, distance =    0.44, accuracy = 1.00
test_object =    46, predicted_class =   0, true_class =   6, nn =   789, distance =    0.33, accuracy = 0.00
test_object =    47, predicted_class =   0, true_class =   0, nn =   879, distance =    0.55, accuracy = 1.00
test_object =    48, predicted_class =   0, true_class =   0, nn =   310, distance =    0.32, accuracy = 1.00
test_object =    49, predicted_class =   0, true_class =   0, nn =   489, distance =    0.70, accuracy = 1.00
test_object =    50, predicted_class =   1, true_class =   6, nn =   392, distance =    0.86, accuracy = 0.00
test_object =    51, predicted_class =   6, true_class =   6, nn =    64, distance =    0.69, accuracy = 1.00
test_object =    52, predicted_class =   6, true_class =   1, nn =   455, distance =    0.40, accuracy = 0.00
test_object =    53, predicted_class =   1, true_class =   1, nn =   666, distance =    0.45, accuracy = 1.00
test_object =    54, predicted_class =   1, true_class =   6, nn =   170, distance =    0.57, accuracy = 0.00
test_object =    55, predicted_class =   6, true_class =   1, nn =   263, distance =    1.23, accuracy = 0.00
test_object =    56, predicted_class =   0, true_class =   1, nn =   255, distance =    0.64, accuracy = 0.00
test_object =    57, predicted_class =   1, true_class =   1, nn =   845, distance =    3.65, accuracy = 1.00
test_object =    58, predicted_class =   1, true_class =   2, nn =    63, distance =    0.87, accuracy = 0.00
test_object =    59, predicted_class =   1, true_class =   2, nn =   545, distance =    1.12, accuracy = 0.00
test_object =    60, predicted_class =   2, true_class =   1, nn =   362, distance =    0.71, accuracy = 0.00
test_object =    61, predicted_class =   1, true_class =   1, nn =    95, distance =    0.41, accuracy = 1.00
test_object =    62, predicted_class =   4, true_class =   0, nn =   653, distance =    1.50, accuracy = 0.00
test_object =    63, predicted_class =   7, true_class =   7, nn =   767, distance =    0.53, accuracy = 1.00
test_object =    64, predicted_class =   2, true_class =   2, nn =   777, distance =    0.46, accuracy = 1.00
test_object =    65, predicted_class =   6, true_class =   8, nn =   629, distance =    0.73, accuracy = 0.00
test_object =    66, predicted_class =   0, true_class =   1, nn =   100, distance =    2.49, accuracy = 0.00
test_object =    67, predicted_class =   7, true_class =   7, nn =   328, distance =    0.60, accuracy = 1.00
test_object =    68, predicted_class =   6, true_class =   6, nn =   641, distance =    0.62, accuracy = 1.00
test_object =    69, predicted_class =   2, true_class =   1, nn =   809, distance =    0.66, accuracy = 0.00
test_object =    70, predicted_class =   0, true_class =   8, nn =   350, distance =    0.42, accuracy = 0.00
test_object =    71, predicted_class =   1, true_class =   1, nn =   438, distance =    0.94, accuracy = 1.00
test_object =    72, predicted_class =   2, true_class =   2, nn =   908, distance =    1.29, accuracy = 1.00
test_object =    73, predicted_class =   6, true_class =   6, nn =   615, distance =    0.60, accuracy = 1.00
test_object =    74, predicted_class =   0, true_class =   6, nn =   855, distance =    0.47, accuracy = 0.00
test_object =    75, predicted_class =   1, true_class =   8, nn =   587, distance =    0.75, accuracy = 0.00
test_object =    76, predicted_class =   1, true_class =   2, nn =   910, distance =    1.16, accuracy = 0.00
test_object =    77, predicted_class =   6, true_class =   6, nn =   359, distance =    0.22, accuracy = 1.00
test_object =    78, predicted_class =   6, true_class =   7, nn =   378, distance =    0.75, accuracy = 0.00
test_object =    79, predicted_class =   6, true_class =   6, nn =   298, distance =    0.13, accuracy = 1.00
test_object =    80, predicted_class =   1, true_class =   6, nn =   443, distance =    0.45, accuracy = 0.00
test_object =    81, predicted_class =   3, true_class =   4, nn =   245, distance =    1.16, accuracy = 0.00
test_object =    82, predicted_class =   6, true_class =   4, nn =   470, distance =    0.55, accuracy = 0.00
test_object =    83, predicted_class =   1, true_class =   6, nn =   740, distance =    0.54, accuracy = 0.00
test_object =    84, predicted_class =   6, true_class =   0, nn =    27, distance =    0.56, accuracy = 0.00
test_object =    85, predicted_class =   3, true_class =   3, nn =   912, distance =    1.12, accuracy = 1.00
test_object =    86, predicted_class =   6, true_class =   6, nn =   996, distance =    0.35, accuracy = 1.00
test_object =    87, predicted_class =   2, true_class =   2, nn =   994, distance =    0.73, accuracy = 1.00
test_object =    88, predicted_class =   6, true_class =   1, nn =   349, distance =    1.43, accuracy = 0.00
test_object =    89, predicted_class =   6, true_class =   6, nn =   500, distance =    0.16, accuracy = 1.00
test_object =    90, predicted_class =   6, true_class =   6, nn =   534, distance =    0.08, accuracy = 1.00
test_object =    91, predicted_class =   1, true_class =   6, nn =   268, distance =    0.43, accuracy = 0.00
test_object =    92, predicted_class =   6, true_class =   6, nn =   847, distance =    0.71, accuracy = 1.00
test_object =    93, predicted_class =   0, true_class =   0, nn =   269, distance =    0.74, accuracy = 1.00
test_object =    94, predicted_class =   0, true_class =   1, nn =   734, distance =    1.30, accuracy = 0.00
test_object =    95, predicted_class =   6, true_class =   1, nn =   534, distance =    0.54, accuracy = 0.00
test_object =    96, predicted_class =   0, true_class =   0, nn =   294, distance =    0.88, accuracy = 1.00
test_object =    97, predicted_class =   6, true_class =   1, nn =   822, distance =    0.48, accuracy = 0.00
test_object =    98, predicted_class =   6, true_class =   6, nn =   210, distance =    0.32, accuracy = 1.00
test_object =    99, predicted_class =   1, true_class =   1, nn =    71, distance =    1.66, accuracy = 1.00
test_object =   100, predicted_class =   2, true_class =   2, nn =    79, distance =    0.90, accuracy = 1.00
test_object =   101, predicted_class =   2, true_class =   2, nn =   885, distance =    0.64, accuracy = 1.00
test_object =   102, predicted_class =   6, true_class =   1, nn =   279, distance =    0.96, accuracy = 0.00
test_object =   103, predicted_class =   6, true_class =   6, nn =   838, distance =    0.16, accuracy = 1.00
test_object =   104, predicted_class =   4, true_class =   2, nn =   781, distance =    1.94, accuracy = 0.00
test_object =   105, predicted_class =   2, true_class =   8, nn =   474, distance =    0.70, accuracy = 0.00
test_object =   106, predicted_class =   7, true_class =   5, nn =   951, distance =    0.78, accuracy = 0.00
test_object =   107, predicted_class =   1, true_class =   6, nn =   626, distance =    0.46, accuracy = 0.00
test_object =   108, predicted_class =   1, true_class =   6, nn =   533, distance =    0.43, accuracy = 0.00
test_object =   109, predicted_class =   6, true_class =   0, nn =   427, distance =    0.42, accuracy = 0.00
test_object =   110, predicted_class =   0, true_class =   1, nn =   370, distance =    0.82, accuracy = 0.00
test_object =   111, predicted_class =   0, true_class =   1, nn =   713, distance =    0.53, accuracy = 0.00
test_object =   112, predicted_class =   5, true_class =   6, nn =   316, distance =    0.71, accuracy = 0.00
test_object =   113, predicted_class =   6, true_class =   0, nn =   149, distance =    0.88, accuracy = 0.00
test_object =   114, predicted_class =   6, true_class =   6, nn =   471, distance =    0.22, accuracy = 1.00
test_object =   115, predicted_class =   2, true_class =   1, nn =    79, distance =    0.71, accuracy = 0.00
test_object =   116, predicted_class =   6, true_class =   1, nn =   413, distance =    0.92, accuracy = 0.00
test_object =   117, predicted_class =   7, true_class =   7, nn =   191, distance =    0.51, accuracy = 1.00
test_object =   118, predicted_class =   6, true_class =   4, nn =   357, distance =    1.70, accuracy = 0.00
test_object =   119, predicted_class =   1, true_class =   1, nn =   137, distance =    1.06, accuracy = 1.00
test_object =   120, predicted_class =   6, true_class =   6, nn =   531, distance =    0.66, accuracy = 1.00
test_object =   121, predicted_class =   6, true_class =   1, nn =   242, distance =    0.39, accuracy = 0.00
test_object =   122, predicted_class =   4, true_class =   3, nn =   139, distance =    0.60, accuracy = 0.00
test_object =   123, predicted_class =   1, true_class =   6, nn =   122, distance =    0.60, accuracy = 0.00
test_object =   124, predicted_class =   0, true_class =   0, nn =     2, distance =    0.69, accuracy = 1.00
test_object =   125, predicted_class =   0, true_class =   6, nn =   306, distance =    0.52, accuracy = 0.00
test_object =   126, predicted_class =   6, true_class =   6, nn =    15, distance =    0.94, accuracy = 1.00
test_object =   127, predicted_class =   6, true_class =   6, nn =   530, distance =    0.84, accuracy = 1.00
test_object =   128, predicted_class =   2, true_class =   6, nn =   908, distance =    1.18, accuracy = 0.00
test_object =   129, predicted_class =   1, true_class =   1, nn =   293, distance =    0.70, accuracy = 1.00
test_object =   130, predicted_class =   1, true_class =   6, nn =   919, distance =    1.09, accuracy = 0.00
test_object =   131, predicted_class =   6, true_class =   1, nn =   923, distance =    1.17, accuracy = 0.00
test_object =   132, predicted_class =   2, true_class =   1, nn =   362, distance =    0.54, accuracy = 0.00
test_object =   133, predicted_class =   6, true_class =   1, nn =   471, distance =    0.30, accuracy = 0.00
test_object =   134, predicted_class =   6, true_class =   0, nn =   927, distance =    0.93, accuracy = 0.00
test_object =   135, predicted_class =   6, true_class =   6, nn =   339, distance =    0.31, accuracy = 1.00
test_object =   136, predicted_class =   3, true_class =   7, nn =   705, distance =    0.88, accuracy = 0.00
test_object =   137, predicted_class =   2, true_class =   2, nn =   125, distance =    0.94, accuracy = 1.00
test_object =   138, predicted_class =   1, true_class =   1, nn =   386, distance =    0.27, accuracy = 1.00
test_object =   139, predicted_class =   4, true_class =   1, nn =   624, distance =    0.53, accuracy = 0.00
test_object =   140, predicted_class =   1, true_class =   6, nn =   618, distance =    0.89, accuracy = 0.00
test_object =   141, predicted_class =   1, true_class =   1, nn =   420, distance =    0.87, accuracy = 1.00
test_object =   142, predicted_class =   2, true_class =   2, nn =   368, distance =    0.55, accuracy = 1.00
test_object =   143, predicted_class =   0, true_class =   0, nn =   637, distance =    0.57, accuracy = 1.00
test_object =   144, predicted_class =   1, true_class =   6, nn =   857, distance =    0.40, accuracy = 0.00
test_object =   145, predicted_class =   2, true_class =   1, nn =   322, distance =    0.79, accuracy = 0.00
test_object =   146, predicted_class =   1, true_class =   1, nn =    95, distance =    0.69, accuracy = 1.00
test_object =   147, predicted_class =   5, true_class =   0, nn =   661, distance =    1.29, accuracy = 0.00
test_object =   148, predicted_class =   0, true_class =   1, nn =   983, distance =    0.58, accuracy = 0.00
test_object =   149, predicted_class =   1, true_class =   1, nn =   714, distance =    0.73, accuracy = 1.00
test_object =   150, predicted_class =   6, true_class =   6, nn =   496, distance =    0.60, accuracy = 1.00
test_object =   151, predicted_class =   1, true_class =   1, nn =   454, distance =    0.43, accuracy = 1.00
test_object =   152, predicted_class =   1, true_class =   1, nn =   343, distance =    0.74, accuracy = 1.00
test_object =   153, predicted_class =   6, true_class =   0, nn =   728, distance =    0.61, accuracy = 0.00
