ID=    0, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=    1, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=    2, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=    3, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=    4, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=    5, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=    6, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=    7, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=    8, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=    9, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   10, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   11, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   12, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   13, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   14, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   15, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   16, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   17, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   18, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   19, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   20, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   21, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   22, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   23, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   24, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   25, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   26, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   27, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   28, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   29, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   30, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   31, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   32, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   33, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   34, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   35, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   36, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   37, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   38, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   39, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   40, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   41, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   42, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   43, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   44, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   45, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   46, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   47, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   48, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   49, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   50, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   51, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   52, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   53, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   54, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   55, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   56, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   57, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   58, predicted=  2, probability = 0.6930, true=  2, accuracy=1.00

ID=   59, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   60, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

ID=   61, predicted=  2, probability = 0.6930, true=  4, accuracy=0.00

