ID=    0, predicted=  6, probability = 0.3508, true=  7, accuracy=0.00

ID=    1, predicted=  6, probability = 0.3508, true=  2, accuracy=0.00

ID=    2, predicted=  6, probability = 0.3508, true=  0, accuracy=0.00

ID=    3, predicted=  6, probability = 0.3508, true=  0, accuracy=0.00

ID=    4, predicted=  6, probability = 0.3508, true=  6, accuracy=1.00

ID=    5, predicted=  6, probability = 0.3508, true=  3, accuracy=0.00

ID=    6, predicted=  6, probability = 0.3508, true=  3, accuracy=0.00

ID=    7, predicted=  6, probability = 0.3508, true=  0, accuracy=0.00

ID=    8, predicted=  6, probability = 0.3508, true=  6, accuracy=1.00

ID=    9, predicted=  6, probability = 0.3508, true=  6, accuracy=1.00

ID=   10, predicted=  6, probability = 0.3508, true=  4, accuracy=0.00

ID=   11, predicted=  6, probability = 0.3508, true=  2, accuracy=0.00

ID=   12, predicted=  6, probability = 0.3508, true=  0, accuracy=0.00

ID=   13, predicted=  6, probability = 0.3508, true=  4, accuracy=0.00

ID=   14, predicted=  6, probability = 0.3508, true=  4, accuracy=0.00

ID=   15, predicted=  6, probability = 0.3508, true=  3, accuracy=0.00

ID=   16, predicted=  6, probability = 0.3508, true=  4, accuracy=0.00

ID=   17, predicted=  6, probability = 0.3508, true=  6, accuracy=1.00

ID=   18, predicted=  6, probability = 0.3508, true=  5, accuracy=0.00

ID=   19, predicted=  6, probability = 0.3508, true=  2, accuracy=0.00

ID=   20, predicted=  6, probability = 0.3508, true=  1, accuracy=0.00

ID=   21, predicted=  6, probability = 0.3508, true=  0, accuracy=0.00

ID=   22, predicted=  6, probability = 0.3508, true=  4, accuracy=0.00

ID=   23, predicted=  6, probability = 0.3508, true=  4, accuracy=0.00

ID=   24, predicted=  6, probability = 0.3508, true=  0, accuracy=0.00

ID=   25, predicted=  6, probability = 0.3508, true=  3, accuracy=0.00

ID=   26, predicted=  6, probability = 0.3508, true=  4, accuracy=0.00

ID=   27, predicted=  6, probability = 0.3508, true=  6, accuracy=1.00

ID=   28, predicted=  6, probability = 0.3508, true=  3, accuracy=0.00

ID=   29, predicted=  6, probability = 0.3508, true=  7, accuracy=0.00

ID=   30, predicted=  6, probability = 0.3508, true=  1, accuracy=0.00

ID=   31, predicted=  6, probability = 0.3508, true=  2, accuracy=0.00

ID=   32, predicted=  6, probability = 0.3508, true=  5, accuracy=0.00

ID=   33, predicted=  6, probability = 0.3508, true=  2, accuracy=0.00

ID=   34, predicted=  6, probability = 0.3508, true=  1, accuracy=0.00

ID=   35, predicted=  6, probability = 0.3508, true=  6, accuracy=1.00

ID=   36, predicted=  6, probability = 0.3508, true=  4, accuracy=0.00

ID=   37, predicted=  6, probability = 0.3508, true=  7, accuracy=0.00

ID=   38, predicted=  6, probability = 0.3508, true=  1, accuracy=0.00

ID=   39, predicted=  6, probability = 0.3508, true=  1, accuracy=0.00

ID=   40, predicted=  6, probability = 0.3508, true=  3, accuracy=0.00

ID=   41, predicted=  6, probability = 0.3508, true=  0, accuracy=0.00

ID=   42, predicted=  6, probability = 0.3508, true=  0, accuracy=0.00

ID=   43, predicted=  6, probability = 0.3508, true=  7, accuracy=0.00

ID=   44, predicted=  6, probability = 0.3508, true=  3, accuracy=0.00

ID=   45, predicted=  6, probability = 0.3508, true=  3, accuracy=0.00

ID=   46, predicted=  6, probability = 0.3508, true=  2, accuracy=0.00

ID=   47, predicted=  6, probability = 0.3508, true=  6, accuracy=1.00

ID=   48, predicted=  6, probability = 0.3508, true=  4, accuracy=0.00

ID=   49, predicted=  6, probability = 0.3508, true=  7, accuracy=0.00

ID=   50, predicted=  6, probability = 0.3508, true=  5, accuracy=0.00

ID=   51, predicted=  6, probability = 0.3508, true=  2, accuracy=0.00

ID=   52, predicted=  6, probability = 0.3508, true=  4, accuracy=0.00

ID=   53, predicted=  6, probability = 0.3508, true=  2, accuracy=0.00

ID=   54, predicted=  6, probability = 0.3508, true=  3, accuracy=0.00

ID=   55, predicted=  6, probability = 0.3508, true=  4, accuracy=0.00

ID=   56, predicted=  6, probability = 0.3508, true=  6, accuracy=1.00

ID=   57, predicted=  6, probability = 0.3508, true=  0, accuracy=0.00

ID=   58, predicted=  6, probability = 0.3508, true=  0, accuracy=0.00

ID=   59, predicted=  6, probability = 0.3508, true=  3, accuracy=0.00

ID=   60, predicted=  6, probability = 0.3508, true=  1, accuracy=0.00

ID=   61, predicted=  6, probability = 0.3508, true=  2, accuracy=0.00

ID=   62, predicted=  6, probability = 0.3508, true=  6, accuracy=1.00

ID=   63, predicted=  6, probability = 0.3508, true=  0, accuracy=0.00

ID=   64, predicted=  6, probability = 0.3508, true=  5, accuracy=0.00

ID=   65, predicted=  6, probability = 0.3508, true=  0, accuracy=0.00

ID=   66, predicted=  6, probability = 0.3508, true=  2, accuracy=0.00

ID=   67, predicted=  6, probability = 0.3508, true=  0, accuracy=0.00

ID=   68, predicted=  6, probability = 0.3508, true=  1, accuracy=0.00

ID=   69, predicted=  6, probability = 0.3508, true=  2, accuracy=0.00

ID=   70, predicted=  6, probability = 0.3508, true=  2, accuracy=0.00

ID=   71, predicted=  6, probability = 0.3508, true=  3, accuracy=0.00

ID=   72, predicted=  6, probability = 0.3508, true=  0, accuracy=0.00

ID=   73, predicted=  6, probability = 0.3508, true=  2, accuracy=0.00

ID=   74, predicted=  6, probability = 0.3508, true=  2, accuracy=0.00

ID=   75, predicted=  6, probability = 0.3508, true=  5, accuracy=0.00

ID=   76, predicted=  6, probability = 0.3508, true=  4, accuracy=0.00

ID=   77, predicted=  6, probability = 0.3508, true=  4, accuracy=0.00

ID=   78, predicted=  6, probability = 0.3508, true=  1, accuracy=0.00

ID=   79, predicted=  6, probability = 0.3508, true=  4, accuracy=0.00

ID=   80, predicted=  6, probability = 0.3508, true=  5, accuracy=0.00

ID=   81, predicted=  6, probability = 0.3508, true=  0, accuracy=0.00

ID=   82, predicted=  6, probability = 0.3508, true=  1, accuracy=0.00

ID=   83, predicted=  6, probability = 0.3508, true=  3, accuracy=0.00

ID=   84, predicted=  6, probability = 0.3508, true=  6, accuracy=1.00

ID=   85, predicted=  6, probability = 0.3508, true=  2, accuracy=0.00

ID=   86, predicted=  6, probability = 0.3508, true=  4, accuracy=0.00

ID=   87, predicted=  6, probability = 0.3508, true=  7, accuracy=0.00

ID=   88, predicted=  6, probability = 0.3508, true=  0, accuracy=0.00

ID=   89, predicted=  6, probability = 0.3508, true=  7, accuracy=0.00

ID=   90, predicted=  6, probability = 0.3508, true=  7, accuracy=0.00

ID=   91, predicted=  6, probability = 0.3508, true=  3, accuracy=0.00

ID=   92, predicted=  6, probability = 0.3508, true=  0, accuracy=0.00

ID=   93, predicted=  6, probability = 0.3508, true=  1, accuracy=0.00

ID=   94, predicted=  6, probability = 0.3508, true=  1, accuracy=0.00

ID=   95, predicted=  6, probability = 0.3508, true=  2, accuracy=0.00

