ID=    0, predicted=  7, probability = 0.1643, true=  4, accuracy=0.00

ID=    1, predicted=  7, probability = 0.1643, true=  8, accuracy=0.00

ID=    2, predicted=  7, probability = 0.1643, true=  2, accuracy=0.00

ID=    3, predicted=  7, probability = 0.1643, true=  0, accuracy=0.00

ID=    4, predicted=  7, probability = 0.1643, true= 12, accuracy=0.00

ID=    5, predicted=  7, probability = 0.1643, true= 14, accuracy=0.00

ID=    6, predicted=  7, probability = 0.1643, true=  2, accuracy=0.00

ID=    7, predicted=  7, probability = 0.1643, true=  5, accuracy=0.00

ID=    8, predicted=  7, probability = 0.1643, true= 11, accuracy=0.00

ID=    9, predicted=  7, probability = 0.1643, true=  6, accuracy=0.00

ID=   10, predicted=  7, probability = 0.1643, true=  7, accuracy=1.00

ID=   11, predicted=  7, probability = 0.1643, true=  8, accuracy=0.00

ID=   12, predicted=  7, probability = 0.1643, true= 14, accuracy=0.00

ID=   13, predicted=  7, probability = 0.1643, true=  7, accuracy=1.00

ID=   14, predicted=  7, probability = 0.1643, true= 13, accuracy=0.00

ID=   15, predicted=  7, probability = 0.1643, true=  0, accuracy=0.00

ID=   16, predicted=  7, probability = 0.1643, true= 11, accuracy=0.00

ID=   17, predicted=  7, probability = 0.1643, true=  7, accuracy=1.00

ID=   18, predicted=  7, probability = 0.1643, true= 14, accuracy=0.00

ID=   19, predicted=  7, probability = 0.1643, true=  4, accuracy=0.00

ID=   20, predicted=  7, probability = 0.1643, true= 11, accuracy=0.00

ID=   21, predicted=  7, probability = 0.1643, true= 14, accuracy=0.00

ID=   22, predicted=  7, probability = 0.1643, true=  4, accuracy=0.00

ID=   23, predicted=  7, probability = 0.1643, true=  0, accuracy=0.00

ID=   24, predicted=  7, probability = 0.1643, true= 14, accuracy=0.00

ID=   25, predicted=  7, probability = 0.1643, true= 10, accuracy=0.00

ID=   26, predicted=  7, probability = 0.1643, true= 10, accuracy=0.00

ID=   27, predicted=  7, probability = 0.1643, true= 13, accuracy=0.00

ID=   28, predicted=  7, probability = 0.1643, true= 14, accuracy=0.00

ID=   29, predicted=  7, probability = 0.1643, true=  7, accuracy=1.00

ID=   30, predicted=  7, probability = 0.1643, true=  7, accuracy=1.00

ID=   31, predicted=  7, probability = 0.1643, true=  3, accuracy=0.00

ID=   32, predicted=  7, probability = 0.1643, true=  2, accuracy=0.00

ID=   33, predicted=  7, probability = 0.1643, true= 14, accuracy=0.00

ID=   34, predicted=  7, probability = 0.1643, true=  0, accuracy=0.00

ID=   35, predicted=  7, probability = 0.1643, true=  7, accuracy=1.00

ID=   36, predicted=  7, probability = 0.1643, true=  0, accuracy=0.00

ID=   37, predicted=  7, probability = 0.1643, true=  3, accuracy=0.00

ID=   38, predicted=  7, probability = 0.1643, true= 11, accuracy=0.00

ID=   39, predicted=  7, probability = 0.1643, true= 14, accuracy=0.00

ID=   40, predicted=  7, probability = 0.1643, true=  7, accuracy=1.00

ID=   41, predicted=  7, probability = 0.1643, true=  2, accuracy=0.00

