ID=    0, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=    1, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=    2, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=    3, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=    4, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=    5, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=    6, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=    7, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=    8, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=    9, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   10, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   11, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   12, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   13, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   14, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   15, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   16, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   17, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   18, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   19, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   20, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   21, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   22, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   23, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   24, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   25, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   26, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   27, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   28, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   29, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   30, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   31, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   32, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   33, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   34, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   35, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   36, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   37, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   38, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   39, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   40, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   41, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   42, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   43, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   44, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   45, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   46, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   47, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   48, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   49, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   50, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   51, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   52, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   53, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   54, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   55, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   56, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   57, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   58, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   59, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   60, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   61, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   62, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   63, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   64, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   65, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   66, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   67, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   68, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   69, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   70, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   71, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   72, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   73, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   74, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   75, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   76, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   77, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   78, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   79, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   80, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

ID=   81, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   82, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   83, predicted=  0, probability = 0.5000, true=  0, accuracy=0.50

ID=   84, predicted=  0, probability = 0.5000, true=  1, accuracy=0.00

